country,date,daily_vaccinations,people_vaccinated,people_fully_vaccinated,people_unvaccinated,new_people_vaccinated,new_people_fully_vaccinated,daily_occupancy_icu
Afghanistan,2021-05-27,2859.0,479574.0,113739.0,39431521.50684932,202.0,2657.0,
Afghanistan,2021-06-03,4015.0,481800.0,148505.0,39447158.60547945,110.0,3905.0,
Afghanistan,2022-01-27,6868.0,4517380.0,3868832.0,35815829.21917808,6008.0,2553.0,
Afghanistan,2022-04-27,383.0,5287027.0,4637327.0,35188810.02739726,370.0,381.0,
Afghanistan,2022-09-12,9447.0,10827184.0,10105500.0,29926845.200000003,3885.0,9432.0,
Afghanistan,2022-11-02,36587.0,11165700.0,10458947.0,29710717.4630137,35059.0,31815.0,
Afghanistan,2022-11-16,14800.0,11236798.0,10531675.0,29673216.241095893,13734.0,13968.0,
Afghanistan,2023-04-25,3316.0,14735342.0,14021488.0,26558635.419178084,2828.0,2838.0,
Africa,2020-12-02,0.0,3145776.0,19629346.0,1391570140.3972602,0.0,0.0,
Africa,2020-12-03,0.0,3145776.0,19629346.0,1391660364.8219178,0.0,0.0,
Africa,2020-12-04,0.0,3145776.0,19629346.0,1391750589.2465754,0.0,0.0,
Africa,2020-12-05,0.0,3145776.0,19629346.0,1391840813.671233,0.0,0.0,
Africa,2020-12-06,0.0,3145776.0,19629346.0,1391931038.0958903,0.0,0.0,
Africa,2020-12-07,0.0,3145776.0,19629346.0,1392021262.520548,0.0,0.0,
Africa,2020-12-08,0.0,3145776.0,19629346.0,1392111486.9452057,0.0,0.0,
Africa,2020-12-09,0.0,3145776.0,19629346.0,1392201711.369863,0.0,0.0,
Africa,2020-12-10,0.0,3145776.0,19629346.0,1392291935.7945206,0.0,0.0,
Africa,2020-12-11,0.0,3145776.0,19629346.0,1392382160.2191782,0.0,0.0,
Africa,2020-12-12,0.0,3145776.0,19629346.0,1392472384.6438355,0.0,0.0,
Africa,2020-12-13,0.0,3145776.0,19629346.0,1392562609.0684931,0.0,0.0,
Africa,2020-12-14,0.0,3145776.0,19629346.0,1392652833.4931507,0.0,0.0,
Africa,2020-12-15,0.0,3145776.0,19629346.0,1392743057.9178083,0.0,0.0,
Africa,2020-12-16,0.0,3145776.0,19629346.0,1392833282.3424656,0.0,0.0,
Africa,2020-12-17,0.0,3145776.0,19629346.0,1392923506.7671232,0.0,0.0,
Africa,2020-12-18,0.0,3145776.0,19629346.0,1393013731.1917808,0.0,0.0,
Africa,2020-12-19,0.0,3145776.0,19629346.0,1393103955.6164384,0.0,0.0,
Africa,2020-12-20,0.0,3145776.0,19629346.0,1393194180.041096,0.0,0.0,
Africa,2020-12-21,0.0,3145776.0,19629346.0,1393284404.4657533,0.0,0.0,
Africa,2020-12-22,0.0,3145776.0,19629346.0,1393374628.890411,0.0,0.0,
Africa,2020-12-23,0.0,3145776.0,19629346.0,1393464853.3150685,0.0,0.0,
Africa,2020-12-24,0.0,3145776.0,19629346.0,1393555077.739726,0.0,0.0,
